305,BSL,100,102.65,98.6,99.25,98.7,99.5,7218,721799.55,366
306,BSLGOLDETF,45.68,46.45,45.12,45.42,45.12,45.43,13201,601547.43,301
307,BSLNIFTY,17.84,18.25,17.5,17.95,18.05,17.84,24990,447988.38,356
308,BSLSENETFG,51.72,51.87,51.28,51.85,51.87,51.34,636,32858.73,73
309,BSOFT,321,321.9,306.8,309.6,309.9,317.55,5485081,1711105694,78831
310,BTML,102.75,105.45,102.75,104.9,104.9,105.5,21600,2264580,7
311,BURNPUR,4.2,4.3,4.05,4.15,4.2,4.3,183103,766349.1,442
312,BUTTERFLY,1644.95,1684,1560,1611.25,1606.75,1590.4,575287,930177457.1,61123
313,BVCL,22.4,22.45,21.5,22,22,21.8,2077,45640.65,17
314,BYKE,35,35.2,34.1,34.35,34.6,34.55,11800,407749.4,114
315,CALSOFT,22.2,22.2,20.8,20.95,20.85,21.5,51064,1082182.15,364
316,CAMLINFINE,110.95,114.5,110.5,112.45,112.3,110.5,214709,24039844,3600
317,CAMPUS,371,373.4,363,368.1,366,370.1,250910,92441657.4,9283
318,CAMS,2325,2325,2287,2308.85,2310,2319.05,54444,125488208.8,6694
319,CANBK,210,212,203.6,206.1,205.55,209.55,9778553,2016556499,46917
320,CANDC,3.75,3.75,3.65,3.65,3.65,3.75,3319,12309.05,10
321,CANFINHOME,475.3,485.75,470.1,481.5,480.3,471.55,362040,173178717.8,10833
322,CANTABIL,1105.05,1132.4,1105.05,1119.1,1116.5,1120.5,8138,9155539.55,585
323,CAPACITE,121.6,125.1,119.1,120.25,120,120.75,99905,12181586.7,3219
324,CAPLIPOINT,736.2,736.2,714,723.2,722.05,732.5,31911,23056231.8,3058
